name,hr2,hr4,hr6,hr8,hr12,hr18,Day1,Day2,Day4,Day7,sym
A_51_P385099,-0.003496042,0.021466601,-0.181885655,0.075724105,-0.056651951,-0.119823656,-0.079483073,0.032031193,0.01335133,0.884229282,000000000+
A_55_P2110215,-0.004501358,-0.10495365,-0.079441317,-0.273357341,-0.227941263,0.394001804,0.221219096,-0.153619056,-0.142377071,1.320185007,000000000+
A_30_P01018803,-0.243076028,-0.021220358,-0.067318794,0.165850469,-0.132923207,-0.019448105,0.068922672,-0.072403523,-0.463925312,0.500821746,000000000+
A_55_P2008896,-0.381187618,0.470435744,0.325545321,-0.082009042,-0.229664102,-0.310674369,-0.320605999,-0.049395666,0.095082948,0.506408255,000000000+
A_30_P01023440,0.248095956,-0.142028097,0.358958811,0.142583917,-0.199991144,-0.010345879,0.309058558,-0.144211088,0.138010941,0.672374046,000000000+
A_51_P122238,0.309228033,-0.160802166,-0.250331835,-0.075253338,-0.234212958,-0.070765978,0.031147758,0.036832758,-0.002355962,0.830386855,000000000+
A_51_P125691,0.057528787,-0.012353955,-0.081963679,0.024278802,-0.203820206,-0.323968707,0.088866377,0.112999932,-0.106968622,0.752073783,000000000+
A_55_P2037643,-0.082241267,-0.049873263,0.133872543,0.081601978,-0.092662426,0.094907068,0.320132102,-0.296635163,0.005112653,0.597115937,000000000+
A_55_P2109342,0.313525849,-0.059324865,-0.03170932,-0.062350114,-0.313736842,-0.34863765,-0.036267621,0.038349923,-0.2937685,0.56683277,000000000+
A_55_P2130104,-0.224104599,0.090813616,0.088229867,0.459196042,-0.040254241,0.079851168,-0.301615574,0.183007363,-0.019214136,0.579445975,000000000+
A_55_P2164221,-0.304670068,0.129862318,0.013215276,0.170926809,-0.11143982,0.1108762,-0.199127675,-0.17362215,0.120368327,0.748090075,000000000+
A_52_P586004,0.118191489,-0.00663517,0.150267048,0.051419529,-0.323389391,-0.24688401,0.263208458,-0.220702256,0.018505246,1.617129951,000000000+
A_55_P2117146,0.156923609,-0.12789723,0.06896068,-0.051581883,0.140128088,0.299320707,0.263797185,0.003238695,-0.21242744,0.604214273,000000000+
A_55_P2125823,-0.058259503,0.129890326,0.288875167,-0.243034234,-0.244934923,-0.443993318,-0.178299578,0.006240076,-0.080592509,0.730544653,000000000+
A_55_P2073642,-0.042448035,0.06398348,-0.32186756,0.346788211,-0.045178393,0.055862922,-0.242399127,-0.039310969,-0.041717791,0.558188535,000000000+
A_55_P2170817,-0.00021088,0.324147772,-0.31404754,0.464834172,-0.359988716,-0.140509017,-0.348302357,0.063784439,0.173322516,0.780257611,000000000+
A_52_P127362,0.452050844,-0.274419415,-0.337288614,0.14568789,-0.182022403,-0.349108782,-0.11158526,0.112313511,-0.096050433,0.812327574,000000000+
A_51_P487933,0.308461359,-0.158021505,-0.141302596,0.037515107,-0.000734236,0.151891137,-0.122190924,0.101341599,-0.086224545,0.589452928,000000000+
A_51_P129317,0.344776209,-0.092857015,-0.271090885,-0.009800619,-0.253516747,-0.304897262,0.120139805,0.112805952,0.15024938,0.705824448,000000000+
A_52_P574190,0.357806922,-0.358953834,-0.124460088,-0.17901032,-0.190854073,0.012132394,0.185878128,0.192160401,-0.064683977,0.632167569,000000000+
A_66_P100853,-0.09894392,0.152403998,0.108736363,0.250349225,0.287150773,-0.14729519,0.273218603,0.104622054,0.011381363,1.566530491,000000000+
